Call number,Customer ID,Duration,Representative,Date of Call,Purchase Amount,Satisfaction Rating,FY,Day of week,
Call_7271,C0003,116,R05,1-Jan-23,128,4.9,2023,Sunday,
Call_7272,C0004,119,R05,1-Jan-23,135,2.9,2023,Sunday,
Call_7273,C0005,68,R02,1-Jan-23,66,4.7,2023,Sunday,
Call_7274,C0014,119,R02,1-Jan-23,22,2.9,2023,Sunday,
Call_7275,C0011,128,R01,2-Jan-23,31,2.8,2023,Monday,
Call_7276,C0011,49,R02,3-Jan-23,135,4.8,2023,Tuesday,
Call_7277,C0007,84,R05,3-Jan-23,60,4.7,2023,Tuesday,
Call_7278,C0003,103,R04,3-Jan-23,148,4.4,2023,Tuesday,
Call_7279,C0005,31,R02,3-Jan-23,135,3.6,2023,Tuesday,
Call_7280,C0010,44,R03,3-Jan-23,105,2.9,2023,Tuesday,
Call_7281,C0011,102,R02,3-Jan-23,69,4.9,2023,Tuesday,
Call_7282,C0013,135,R05,3-Jan-23,46,3.4,2023,Tuesday,
Call_7283,C0002,98,R02,4-Jan-23,108,3.5,2023,Wednesday,
Call_7284,C0010,139,R02,4-Jan-23,96,4,2023,Wednesday,
Call_7285,C0013,48,R01,4-Jan-23,68,4.9,2023,Wednesday,
Call_7286,C0010,176,R05,5-Jan-23,24,4.8,2023,Thursday,
Call_7287,C0010,99,R01,5-Jan-23,195,3.9,2023,Thursday,
Call_7288,C0009,28,R03,5-Jan-23,28,3.8,2023,Thursday,
Call_7289,C0007,54,R02,5-Jan-23,170,4.3,2023,Thursday,
Call_7290,C0006,48,R05,6-Jan-23,30,4.4,2023,Friday,
Call_7291,C0004,128,R05,6-Jan-23,72,5,2023,Friday,
Call_7292,C0004,38,R04,7-Jan-23,92,4.9,2023,Saturday,
Call_7293,C0003,67,R04,8-Jan-23,165,4.5,2023,Sunday,
Call_7294,C0015,58,R02,8-Jan-23,140,2.1,2023,Sunday,
Call_7295,C0010,54,R01,8-Jan-23,111,3.3,2023,Sunday,
Call_7296,C0012,28,R05,9-Jan-23,63,4.1,2023,Monday,
Call_7297,C0002,73,R05,9-Jan-23,80,4.2,2023,Monday,
